Mateusz Szwoch;64:49;7870,49;21,04;2644,0;3065,47;1552,3;539,41;48,27;40;29,47;7,29;2754,13;259,2;22,48;21;3310,74;280,21;25,79;25;1805,56;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/mateusz-szwoch/profil/spieler/199302
Patryk Tuszyński;72:25;7755,3;41,11;2890,62;2879,02;1379,98;484,54;80,03;43;28,59;6,43;3081,44;350,54;55,06;30;2923,66;134,0;24,97;13;1750,12;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/patryk-tuszynski/profil/spieler/110856
Marko Kolar;30:52;3316,71;4,09;1306,67;1262,44;478,03;187,04;78,44;18;30,35;6,45;1226,82;124,23;44,72;14;1303,44;62,82;33,73;9;786,45;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/marko-kolar/profil/spieler/205924
Dominik Furman;50:04;5582,55;3,0;2005,07;2109,6;1189,7;263,64;11,54;21;26,51;6,69;1947,33;109,69;11,54;10;2320,51;153,96;0,0;12;1314,66;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/dominik-furman/profil/spieler/74687
Damian Warchoł;23:16;3223,23;0,0;1102,49;944,82;748,38;356,44;71,1;27;31,47;8,31;1052,66;128,31;8,06;12;1290,14;218,95;63,04;18;880,33;9,17;0,0;3;Wisła Płock;https://www.transfermarkt.pl/damian-warchol/profil/spieler/335294
Radosław Cielemęcki (M);17:55;2363,67;3,04;622,31;867,4;548,78;260,48;61,66;21;29,85;7,92;822,94;113,73;0,0;11;991,82;145,67;61,66;14;548,95;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/radoslaw-cielemecki/profil/spieler/554280
Luka Susnjara;17:42;2237,5;0,0;814,61;713,32;426,64;208,88;74,05;17;29,77;7,58;726,99;80,95;4,63;9;948,09;127,93;69,41;11;562,48;0,0;0,0;0;Wisła Płock;https://www.transfermarkt.pl/luka-susnjara/profil/spieler/334724
Frantisek Plach;98:00;5791,48;7,06;4761,15;904,51;79,22;39,54;0,0;4;26,22;3,55;3102,14;5,95;0,0;1;2375,56;33,59;0,0;4;313,72;0,0;0,0;0;Piast Gliwice;https://www.transfermarkt.pl/frantisek-plach/profil/spieler/404345
Jakub Holubek;98:00;10375,27;60,72;3553,37;4370,71;1603,93;673,18;113,36;56;33,68;6,35;5346,77;250,15;21,0;29;4621,25;424,18;92,36;39;407,15;0,0;0,0;0;Piast Gliwice;https://www.transfermarkt.pl/jakub-holubek/profil/spieler/192731
Martin Konczkowski;98:00;10265,91;8,99;4058,63;3808,5;1557,53;652,92;179,34;57;30,31;6,29;5205,7;351,51;105,52;36;4623,23;301,41;73,82;31;436,88;0,0;0,0;0;Piast Gliwice;https://www.transfermarkt.pl/martin-konczkowski/profil/spieler/258799
Tomas Huk;98:00;9972,2;2,03;4163,11;4056,27;1220,04;426,29;104,46;43;31,02;6,11;5074,03;120,04;4,37;16;4477,38;306,25;100,09;35;420,69;0,0;0,0;0;Piast Gliwice;https://www.transfermarkt.pl/tomas-huk/profil/spieler/181612
